ARO_Accession,CARD_Name,Model_Type,ARO_Categories,Match_Status,ResFinder_Gene_Name,ResFinder_Class,Match_Tier,Match_Confidence,Alternate_ResFinder_Synonyms,Excluded_Candidates_ClassMismatch,N_Pathogens_With_Hit,Max_NCBI_WGS_Prevalence_Pct,Top_Pathogen_By_WGS_Pct,Has_Perfect_Strict_Hit
ARO:3004332,MCR-5.1,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,7,0.44,Enterobacter kobei,True
ARO:3004337,PDC-74,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.19,Pseudomonas aeruginosa,True
ARO:3004343,PDC-80,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.17,Pseudomonas aeruginosa,True
ARO:3004349,PDC-86,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3004357,catV,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,1,100.0,Brevibacillus brevis,True
ARO:3004361,sul4,protein homolog model,antibiotic target replacement; sulfonamide antibiotic,no_reliable_match,,,,,,,3,0.54,Aeromonas caviae,True
ARO:3004364,almG,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,2,77.76,Vibrio cholerae,True
ARO:3004441,tet(59),protein homolog model,antibiotic efflux; tetracycline antibiotic,no_reliable_match,,,,,,,17,71.43,Providencia heimbachae,True
ARO:3004442,tet(W/N/W),protein homolog model,antibiotic target protection; tetracycline antibiotic,no_reliable_match,,,,,,,9,20.0,Christensenella minuta,True
ARO:3004444,RSA1-1,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin,no_reliable_match,,,,,,,1,0.54,Aeromonas caviae,True
ARO:3004450,TRU-1,protein homolog model,antibiotic inactivation; cephalosporin; penam,no_reliable_match,,,,,,,2,87.5,Aeromonas enteropelogenes,True
ARO:3004454,Campylobacter coli chloramphenicol acetyltransferase,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,5,3.45,Helicobacter pullorum,True
ARO:3004455,Streptococcus suis chloramphenicol acetyltransferase,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,21,5.15,Streptococcus pneumoniae,True
ARO:3004456,Enterococcus faecium chloramphenicol acetyltransferase,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,10,7.5,Staphylococcus arlettae,True
ARO:3004457,Staphylococcus intermedius chloramphenicol acetyltransferase,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,11,8.35,Staphylococcus haemolyticus,True
ARO:3004458,Enterococcus faecalis chloramphenicol acetyltransferase,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,12,20.51,Staphylococcus pseudintermedius,True
ARO:3004460,Vibrio anguillarum chloramphenicol acetyltransferase,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,2,3.76,Aeromonas caviae,True
ARO:3004466,ICR-Mc,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,1,93.26,Moraxella catarrhalis,True
ARO:3004476,vmlR,protein homolog model,antibiotic target protection; lincosamide antibiotic; nucleoside antibiotic; pleuromutilin antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,no_reliable_match,,,,,,,1,67.92,Bacillus subtilis,True
ARO:3004480,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,protein homolog model,antibiotic target alteration; antibiotic target replacement; peptide antibiotic; rifamycin antibiotic,no_reliable_match,,,,,,,8,100.0,Bifidobacterium thermophilum,True
ARO:3004489,OXA-663,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,no_reliable_match,,,,,,,1,0.01,Klebsiella pneumoniae,True
ARO:3004493,ADC-68,protein homolog model,antibiotic inactivation; carbapenem,no_reliable_match,,,,,,,1,0.0,Acinetobacter baumannii,True
ARO:3004495,IMP-56,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem,no_reliable_match,,,,,,,2,0.53,Pseudomonas putida,True
ARO:3004496,KPC-24,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam,no_reliable_match,,,,,,,1,0.56,Aeromonas veronii,True
ARO:3004500,MCR-3.11,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,1,0.01,Klebsiella pneumoniae,True
ARO:3004503,MCR-3.6,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,1,0.0,Aeromonas hydrophila,True
ARO:3004505,MCR-3.5,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,5,0.16,Shigella flexneri,True
ARO:3004508,MCR-3.9,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,1,0.0,Aeromonas hydrophila,True
